,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1625554196.479444,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,866.1991687827921,887.929051219747,905.7560377938421,904.1913514295522,895.8978736440889,876.2083085659483,872.7158758725545,874.0823759806624,867.1637676932772,873.4712359316705,885.7409327788797,890.7687690977946,916.4987725032696,886.0931102316506,879.0961267119768,872.0808448762076,867.2721602818806,820.9537136769649,816.0618849082464,802.6668050941188,817.4753818923234,814.8404751851739,784.6967567156117,756.6875180680596,713.9425747215248,680.2830293341148,592.0076013025508,357.97485945244813,1225.4896980391145,340.1249770305027,552.9846290811346,624.5774571660428,637.2166036757046,654.4715425440589,663.7175604125598,664.7119676972877,645.6136615654907,645.6136615654907,590.6411770271355,574.7181918123003,557.2477007579305,522.1877057151002,499.52477416040136,443.06771491500035,409.1210089936717,390.24351371931857,350.0057142390678,315.39816105995294,284.39760899135564,224.5551157288562,223.64704335179573,193.25889371514057,175.88916964952674,183.52111595127138,182.91254740995763,239.67686580060246,312.07851576165893,0.0,2146.5677254631405,4778.1845924995405
1,1625554196.598077,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,840.4010947160886,859.6848259682149,886.5991202341676,888.9814396262725,879.2752697534487,863.3915681774985,854.1100631651638,829.7523726992289,857.8187454235306,862.7861844049196,863.9351827538916,867.4214661858445,846.4242435091282,860.8327363663628,855.4624480361484,863.1199221429198,856.3206175259357,809.9382692526635,804.1747322566159,790.5099619865647,807.0892143994987,779.1944558324321,777.604655335859,766.4156835556016,696.5701687554528,672.0863039818621,583.8852627015003,349.46816736292305,1225.4896980391145,340.1543767173958,542.5541447634513,618.1423784210236,617.8235994197696,658.6789809914994,656.269761607222,649.5921797558834,644.4261012715112,604.3550281084787,583.7233933979346,564.1639832530964,553.6587396582845,520.5045629002689,489.984693638485,433.25396709089694,405.93841897509526,386.5242553837987,342.8410710518797,307.05862632402955,277.19487729754314,224.8043593883357,228.11619846034608,205.80573364218986,178.80995498014084,191.08375127153016,169.54350474140847,230.41267326256167,296.31908477180474,0.0,2146.5677254631405,4778.1845924995405
2,1625554196.708622,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,830.0036144499613,846.4354671207959,868.2562985662702,857.1843442340743,845.5684478503204,824.8696866778413,827.8357324976979,836.459801783684,841.6751154691458,845.4312509009825,864.5889196606674,835.5501181856179,869.751688702011,853.4078743484853,804.901236177458,796.430160152163,793.0510702344459,830.1716689938293,813.8236909798092,806.9398986293837,741.8369093001506,781.5171143359562,722.0533221307136,692.3185682906388,716.89678476054,617.3920958353775,530.904887903662,364.1373367288776,1225.4896980391145,342.94751785076386,492.1077117867591,556.4862981242215,631.526721524909,584.5784806165892,596.6615456018596,645.2735853883994,575.7820768311567,619.6660390887982,614.3427382170314,580.5996899758043,487.4689733716393,455.38664890398354,421.8589811773598,461.34585724811706,420.52586127371524,339.5541193977773,372.43522926812386,340.92227853280576,305.60104711862493,238.41560351621283,189.92893407798613,167.86899654194636,162.00308639035245,211.98113123577767,199.25109786397664,175.6359872008012,157.84802817900513,0.0,2146.5677254631405,4778.1845924995405
3,1625554197.004768,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,799.1157613262299,837.1959149446443,884.8649614489208,890.9820424677481,900.5687092054665,894.215298460052,869.888498601976,872.5709140236111,856.703566001683,858.2645279865643,875.4267530753216,900.3849176879853,883.6028519646143,855.8621384311845,891.0005611670512,881.5406967349834,885.6918199915815,819.4589678562313,808.9480823884807,790.230978891615,835.936002335107,782.0652146720247,808.4862398334309,789.2306380266798,707.0254592304296,699.4833807889935,599.7307729306543,360.0999861149678,1225.4896980391145,340.1249770305027,560.0446410778341,645.7282710242754,629.363170196668,698.2585481037809,688.4453500460295,644.6433122277776,682.0747759593519,611.2552658259887,568.1487481285161,560.4828275692307,592.4229907760164,563.7987229499549,532.580510345619,421.19947768248716,393.02926099719343,413.56619784503664,311.7707491090208,276.34217919094436,249.0180716333656,265.41476974727686,270.2480342204176,249.06424873915566,227.36974292988063,131.55227098001768,113.13708498984761,92.07062506576133,85.0,0.0,2146.5677254631405,4778.1845924995405
4,1625554197.079295,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,864.0700203108543,884.6722556969897,910.1406484714327,897.4274343923302,899.6088038697709,876.2562410619396,874.0022883265237,852.0991726319185,867.9412422508796,883.4483572909058,882.8187809511078,883.2242070957974,911.5420999602816,884.265231703701,872.844774286929,863.3846188113383,853.4787636491021,854.3939372444072,823.7438922383583,829.0024125417248,804.052858958912,815.4734820949116,784.4615988051933,765.5409851862929,729.4881767376357,671.2927826217112,588.9185003037347,369.8175225702536,1225.4896980391145,355.1408171415953,554.9387353573366,622.2740553807462,641.7889061054266,655.4120841119731,669.1023837948868,685.8804560563015,652.6515149756415,650.3691259584822,621.1867674057457,597.129801634452,557.2862819054494,531.1167479942616,483.47285342612565,473.9419795713395,433.20664814843275,376.86071697644473,370.10944327320266,346.77081768799405,302.8696089078599,233.54014644167714,209.57099035887578,179.0446871593793,159.76545308670458,195.47378340841516,181.79658962697843,174.9771413642365,179.42686532400882,0.0,2146.5677254631405,4778.1845924995405
5,1625554197.093662,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,882.6556519957259,887.1375316150253,897.0050167083793,896.7011765354164,887.5950653310326,873.8706998177705,856.8879740082714,872.0550441342565,867.4214661858445,891.1767501455589,884.4942057469907,863.6694969720767,866.7762110256602,883.5796511916739,842.8546731198683,835.1748319962713,836.8440714971936,866.2251439435362,860.4888145699513,848.5717412216836,781.7985674072319,801.1304512999116,747.1251568512467,734.6972165457006,741.4283512248503,639.8788947918192,556.9245909456683,387.07234465923807,1225.4896980391145,383.5635540559087,515.8614154983875,599.2261676529155,677.3662229547617,649.8199750700189,630.9675110494993,681.3780154950701,616.6360352752667,663.5495460024067,641.626838590781,613.9096024660308,525.7803723989704,489.8264998956263,455.1889717468999,490.73210614346397,459.7434066955175,369.7742554586514,380.42213395122,352.8469923352047,310.94211679989576,265.41476974727686,209.34660255184463,180.7097119692243,167.0449041425688,191.63506985935533,160.4400199451496,147.92227688891217,167.28717822953436,0.0,2146.5677254631405,4778.1845924995405
6,1625554197.117763,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,813.4482159301845,828.6163165180855,844.6360162815697,859.3951361277302,828.2324552925948,822.2682044199447,803.2994460349141,815.4360796530897,826.5137627408269,828.8425664744783,835.1580688707977,826.9425614877977,878.9567679926016,829.7981682312874,791.403816013039,788.868176566909,786.0432558072107,800.7477755198574,801.4998440424052,775.8176332102796,752.1096994454998,759.500493745725,711.5195007868723,692.1228214702936,698.2907703815081,625.617295157351,524.8285434310905,362.41550739448223,1225.4896980391145,343.0714211355997,493.56863757738904,568.4760329160764,628.9244787730877,605.4659362837847,604.7024061470237,642.2413876417495,587.205245208181,612.9437168288782,590.0076270693456,577.0207968522452,496.0040322416744,458.5738762729512,433.3358974283114,444.9325791622816,430.2975714549177,331.78908963376114,364.16617086159994,332.98948932361213,300.12330799189857,238.0966190436143,182.43903091169938,159.0125781188394,149.20120642943877,208.00240383226344,196.7587355112855,235.9872877932199,279.0161285660741,0.0,2146.5677254631405,4778.1845924995405
7,1625554197.164717,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,852.1296849658507,868.6598874127894,884.859875912565,896.8255125719829,870.5538466976067,859.0809042226465,838.7729132488721,859.0285210631833,859.2002094971812,874.849701377328,870.8989608444828,836.9617673466333,883.2949677202967,882.8323736701096,822.9763058557639,823.0996294495582,826.370377010212,855.4934248724534,850.2099740652305,832.9477774746746,770.1486869429824,801.6108781697014,740.7698697976316,723.4694188422894,723.4694188422894,635.0070865746303,552.7503957483884,378.38208202820596,1225.4896980391145,365.39567594595314,513.7518856413084,585.1230639788522,670.6668323392771,629.0985614353286,627.6471938916002,669.1487129181374,607.8922601908993,665.5862077897949,640.8759630380905,611.3591415853696,524.6303460532949,485.3720222674562,456.4832965180654,482.0290447680513,452.1437824409399,351.81955602268613,384.8843982288708,346.09969661934116,319.3305497443049,242.99794237811975,195.35864454894235,168.35973390332975,155.0129026887762,206.34437234875102,188.904737897174,158.02847844613325,138.77319625922004,0.0,2146.5677254631405,4778.1845924995405
8,1625554197.211974,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,831.2911643942813,856.4887623314155,894.910610061139,885.8905124223874,909.4624786103053,887.8569704631484,875.4456008228038,877.542591558951,862.4731879890528,869.8563099730898,868.3374919926008,892.9328082224329,898.1007738555846,866.7508292467911,885.629719465195,869.3267509975751,867.0098038661386,847.0005903185664,831.5389347468945,829.7692450314123,812.5176921150702,789.6454900776677,789.4308076076079,765.044443153468,743.4245086086414,685.1868358338476,584.3372313998142,375.91754415030965,1225.4896980391145,363.52166372858716,548.847884208366,618.3283917143058,669.0478308760892,672.5488829817502,668.852749115977,651.4115442636859,660.5527987980976,649.6468271299415,622.6756780218736,588.6501507686887,585.6159150842811,551.7100687861333,506.92800277751473,448.77722758624907,418.1686262741384,407.0,338.0961401731762,304.05591591021545,273.02930245671433,290.6578744847626,252.84184780213894,252.84184780213894,216.33307652783935,138.0507153186828,109.22453936730518,83.24061508662703,106.96261028976434,0.0,2146.5677254631405,4778.1845924995405
9,1625554197.223267,4343.049850047775,11583.116204199974,6556.174570586113,9442.766173108386,848.2175428508891,877.0689824637512,902.8892512373818,913.840795762588,887.608584906658,879.8210045230791,858.6669901655705,867.2652420107703,871.7545526121444,874.5152943202309,874.5152943202309,862.8470316342289,877.7066708189018,891.8307014226411,848.9581850715617,842.4939168919857,841.4998514557207,860.4446524907921,865.7262846881802,841.0071343335917,793.3574226034568,821.3677617243083,757.0237776979003,742.1947183859503,756.5183408219526,650.3322227907826,560.3302597575826,384.7596652457219,1225.4896980391145,369.4116944548453,522.1206757062969,600.4040306327065,682.7569113527888,643.3428323996468,638.5491367154136,677.8215104288149,631.8457090144714,670.3916765593082,655.985518132832,622.7880859489848,529.4572692862002,499.2684648563336,454.47222137332,489.5804326155203,469.9106298010293,351.45412218382074,392.50605090877264,345.1753177734468,323.154761685481,247.38633753705963,185.74444810007108,156.84705926475002,142.63590010933433,200.6888138387389,177.47675904185314,157.83535725559088,145.38225476308997,0.0,2146.5677254631405,4778.1845924995405
